SKU,Discontinue,ID
"PTSCH-11100","Test by karan","testtt"
"DIS-ID7906","Test by karan","testtt"
"DIS-ID112","Test by karan","testtt"
"BOCH-KC24","Test by karan","testtt"
"PDCH-KBS3","Test by karan","testtt"
"BOCH-KC5","Test by karan","testtt"
"PTSCH-11091","Test by karan","testtt"
"JQCH-201263","Test by karan","testtt"
"JQCH-201268","Test by karan","testtt"
"JQCH-201266","Test by karan","testtt"
"PTCH-JTSP001","Test by karan","testtt"
"SHCH-EMB20135","Test by karan","testtt"
"PTSCH-13403","Test by karan","testtt"
"FHLCH-YL7178109","Test by karan","testtt"
"FHLCH-YL7176209","Test by karan","testtt"
"PTSCH-13404","Test by karan","testtt"
"BOCH-131009","Test by karan","testtt"
"BOCH-131009-GR","Test by karan","testtt"
"DIS-ID15","Test by karan","testtt"
"DIS-ID224","Test by karan","testtt"
"VCCH-VET1201","Test by karan","testtt"
"PTSCH-42012","Test by karan","testtt"
"VCCH-VET1208","Test by karan","testtt"
"PDCH-KBS16","Test by karan","testtt"
"PRTW-D31","Test by karan","testtt"
"PRTW-D32","Test by karan","testtt"
"PRTW-D33","Test by karan","testtt"
"SHCH-EMBOCS3231","Test by karan","testtt"
"PTSCH-SLK218","Test by karan","testtt"
"BOCH-KC35","Test by karan","testtt"
"BOCH-KC26","Test by karan","testtt"
"DIS-ID7806","Test by karan","testtt"
"PTSCH-11087","Test by karan","testtt"
"CZCH-CTZ12","Test by karan","testtt"
"CZCH-CTZ12-GR","Test by karan","testtt"
"BOCH-KC30","Test by karan","testtt"
"BOCH-KC30","Test by karan","testtt"
"DIS-ID112","Test by karan","testtt"
"VCCH-VET1202","Test by karan","testtt"
"DIS-ID124","Test by karan","testtt"
"CZCH-CTZ5","Test by karan","testtt"
"CZCH-CTZ5-GR","Test by karan","testtt"
"VCCH-VET1203","Test by karan","testtt"
"SHCH-EMBOCS3595","Test by karan","testtt"
"PDCH-KBS6","Test by karan","testtt"
"PTCH-JTSP209","Test by karan","testtt"
"PTSCH-11093","Test by karan","testtt"
"PTCH-JTSP102","Test by karan","testtt"
"FHLCH-YL7178117","Test by karan","testtt"
"FHLCH-YL7176217","Test by karan","testtt"
"PRTW-D26","Test by karan","testtt"
"SHCH-VOL1-SLDW","Test by karan","testtt"
"VCCH-VET12010","Test by karan","testtt"
"BOCH-193810","Test by karan","testtt"
"BOCH-193810-GR","Test by karan","testtt"
"BOCH601","Test by karan","testtt"
"BOCH601-GR","Test by karan","testtt"
"PTCH-JTSP120","Test by karan","testtt"
"PTCH-JTSP208","Test by karan","testtt"
"PTCH-JTSP100","Test by karan","testtt"
"PTFFLK-C23A","Test by karan","testtt"
"PTFFLK-C23B","Test by karan","testtt"
"PTFFLK-C5","Test by karan","testtt"
"PTFFLK-C7","Test by karan","testtt"
"PTCH-JTSP202","Test by karan","testtt"
"PDCH-KBS8","Test by karan","testtt"
"PTCH-JTSP203","Test by karan","testtt"
"SHFLNCH-M012","Test by karan","testtt"
"BOCH-KC31","Test by karan","testtt"
"PTCH-JTSP005","Test by karan","testtt"
"FHLCH-YL3012","Test by karan","testtt"
"BOCH-KC36","Test by karan","testtt"
"BOCH-KC27","Test by karan","testtt"
"FHLCH-YL5003","Test by karan","testtt"
"PTCH-JTSP54","Test by karan","testtt"
"PRTW-D25","Test by karan","testtt"
"PDCH-KBS1","Test by karan","testtt"
"PRTW-D24B","Test by karan","testtt"
"PRTW-D24A","Test by karan","testtt"
"VCCH-VET1205","Test by karan","testtt"
"VCCH-VET1209","Test by karan","testtt"
"BOCH-191016","Test by karan","testtt"
"PTCH-JTSP190912","Test by karan","testtt"
"BOCH-191016-GR","Test by karan","testtt"
"BOCH-190303","Test by karan","testtt"
"PTCH-JTSP41","Test by karan","testtt"
"BOCH-190303-GR","Test by karan","testtt"
"SHCH-EMBOCS3293","Test by karan","testtt"
"BOCH-KC22","Test by karan","testtt"
"BOCH-KC29","Test by karan","testtt"
"FHLCH-YL7178103","Test by karan","testtt"
"FHLCH-YL7176203","Test by karan","testtt"
"VCCH-VET1206","Test by karan","testtt"
"FHLCH-YL3022","Test by karan","testtt"
"DIS-ID1","Test by karan","testtt"
"PTFFLK-C20A","Test by karan","testtt"
"PTFFLK-C20B","Test by karan","testtt"
"SHCH-EMBOCS4084","Test by karan","testtt"
"JQCH-20122010","Test by karan","testtt"
"JQCH-2012204","Test by karan","testtt"
"JQCH-2012201","Test by karan","testtt"
"VCCH-VET1204","Test by karan","testtt"
"PTSCH-SLK211","Test by karan","testtt"
"DIS-ID9","Test by karan","testtt"
"PRTW-D28","Test by karan","testtt"
"BOCH-KC6","Test by karan","testtt"
"BOCH-201303","Test by karan","testtt"
"BOCH-201303-GR","Test by karan","testtt"
"PTSCH-12012","Test by karan","testtt"
"PRTW-D23","Test by karan","testtt"
"PRTW-D20","Test by karan","testtt"
"PTCH-JTSP003","Test by karan","testtt"
"PTSCH-11100","Test by karan","testtt"
"PTSCH-52012","Test by karan","testtt"
"DIS-ID50","Test by karan","testtt"
"PTCH-JTSP27","Test by karan","testtt"
"DIS-ID221","Test by karan","testtt"
"BOCH-174402","Test by karan","testtt"
"BOCH-174402-GR","Test by karan","testtt"
"SHFLNCH-M015","Test by karan","testtt"
"PDCH-KBS2","Test by karan","testtt"
"VCCH-VET1207","Test by karan","testtt"
"PTSCH-11098","Test by karan","testtt"
"PTSCH-13402","Test by karan","testtt"
"PRTW-D21","Test by karan","testtt"
"PRTW-D27","Test by karan","testtt"
"PTCH-JTSP87","Test by karan","testtt"
"PTFFLK-C30","Test by karan","testtt"
"PTSCH-13400","Test by karan","testtt"
"PTFFLK-C22B","Test by karan","testtt"
"PTFFLK-C22A","Test by karan","testtt"
